NAME NODE;CPU (cores);MEMORY (bytes);ACTIVE PODS;TASK;PARAMETER;EXECUTION START TIME (seconds)
cs-modeling1;1966m;1623Mi;1;2;2;77126
cs-modeling1;374m;1622Mi;1;2;3;77187
cs-modeling1;1943m;1646Mi;2;1;2;77256
cs-modeling1;;;2;1;5;77327
cs-modeling1;1986m;1665Mi;3;2;3;77398
cs-modeling1;1980m;1672Mi;2;1;1;77471
cs-modeling1;2001m;1665Mi;3;2;2;77542
cs-modeling1;2000m;1692Mi;4;3;2;77611
cs-modeling1;1994m;1792Mi;5;2;3;77681
cs-modeling1;1452m;1663Mi;1;2;2;77743
cs-modeling1;1962m;1684Mi;2;2;5;77812
cs-modeling1;1971m;1704Mi;2;1;2;77883
cs-modeling1;1981m;1693Mi;3;1;3;77953
cs-modeling1;1983m;1708Mi;4;2;4;78014
cs-modeling1;1985m;1672Mi;3;1;3;78087
cs-modeling1;1986m;1693Mi;3;3;1;78160
cs-modeling1;1977m;1657Mi;2;2;2;78233
cs-modeling1;1985m;1710Mi;3;2;2;78303
cs-modeling1;1318m;1631Mi;1;3;5;78374
cs-modeling1;;;2;2;2;78444
cs-modeling1;1997m;2115Mi;3;1;4;78513
cs-modeling1;1987m;2341Mi;4;1;2;78579
cs-modeling1;;;2;1;5;78641
cs-modeling1;1966m;1661Mi;3;2;4;78708
cs-modeling1;1975m;1689Mi;4;1;3;78774
cs-modeling1;1977m;1673Mi;4;1;1;78842
cs-modeling1;1987m;1693Mi;5;3;3;78907
cs-modeling1;2000m;1651Mi;3;1;5;78977
cs-modeling1;1932m;1654Mi;3;3;2;79045
cs-modeling1;1990m;1723Mi;4;2;5;79112
cs-modeling1;1985m;1688Mi;4;2;1;79181
cs-modeling1;1976m;1652Mi;2;1;1;79242
cs-modeling1;1963m;1652Mi;3;3;2;79310
cs-modeling1;1966m;1623Mi;1;2;2;77126
cs-modeling1;374m;1622Mi;1;2;3;77187
cs-modeling1;1943m;1646Mi;2;1;2;77256
cs-modeling1;;;2;1;5;77327
cs-modeling1;1986m;1665Mi;3;2;3;77398
cs-modeling1;1980m;1672Mi;2;1;1;77471
cs-modeling1;2001m;1665Mi;3;2;2;77542
cs-modeling1;2000m;1692Mi;4;3;2;77611
cs-modeling1;1994m;1792Mi;5;2;3;77681
cs-modeling1;1452m;1663Mi;1;2;2;77743
cs-modeling1;1962m;1684Mi;2;2;5;77812
cs-modeling1;1971m;1704Mi;2;1;2;77883
cs-modeling1;1981m;1693Mi;3;1;3;77953
cs-modeling1;1983m;1708Mi;4;2;4;78014
cs-modeling1;1985m;1672Mi;3;1;3;78087
cs-modeling1;1986m;1693Mi;3;3;1;78160
cs-modeling1;1977m;1657Mi;2;2;2;78233
cs-modeling1;1985m;1710Mi;3;2;2;78303
cs-modeling1;1318m;1631Mi;1;3;5;78374
cs-modeling1;;;2;2;2;78444
cs-modeling1;1997m;2115Mi;3;1;4;78513
cs-modeling1;1987m;2341Mi;4;1;2;78579
cs-modeling1;;;2;1;5;78641
cs-modeling1;1966m;1661Mi;3;2;4;78708
cs-modeling1;1975m;1689Mi;4;1;3;78774
cs-modeling1;1977m;1673Mi;4;1;1;78842
cs-modeling1;1987m;1693Mi;5;3;3;78907
cs-modeling1;2000m;1651Mi;3;1;5;78977
cs-modeling1;1932m;1654Mi;3;3;2;79045
cs-modeling1;1990m;1723Mi;4;2;5;79112
cs-modeling1;1985m;1688Mi;4;2;1;79181
cs-modeling1;1976m;1652Mi;2;1;1;79242
cs-modeling1;1963m;1652Mi;3;3;2;79310
cs-modeling1;1970m;1789Mi;3;2;5;79378
cs-modeling1;1712m;1627Mi;2;2;2;79447
cs-modeling1;1999m;1652Mi;3;3;3;79508
cs-modeling1;82m;1607Mi;1;1;2;79569
cs-modeling1;1788m;1626Mi;1;3;3;79634
cs-modeling1;1829m;1880Mi;2;2;4;79700
cs-modeling1;2000m;1648Mi;2;2;5;79768
cs-modeling1;1966m;1623Mi;1;2;2;77126
cs-modeling1;374m;1622Mi;1;2;3;77187
cs-modeling1;1943m;1646Mi;2;1;2;77256
cs-modeling1;;;2;1;5;77327
cs-modeling1;1986m;1665Mi;3;2;3;77398
cs-modeling1;1980m;1672Mi;2;1;1;77471
cs-modeling1;2001m;1665Mi;3;2;2;77542
cs-modeling1;2000m;1692Mi;4;3;2;77611
cs-modeling1;1994m;1792Mi;5;2;3;77681
cs-modeling1;1452m;1663Mi;1;2;2;77743
cs-modeling1;1962m;1684Mi;2;2;5;77812
cs-modeling1;1971m;1704Mi;2;1;2;77883
cs-modeling1;1981m;1693Mi;3;1;3;77953
cs-modeling1;1983m;1708Mi;4;2;4;78014
cs-modeling1;1985m;1672Mi;3;1;3;78087
cs-modeling1;1986m;1693Mi;3;3;1;78160
cs-modeling1;1977m;1657Mi;2;2;2;78233
cs-modeling1;1985m;1710Mi;3;2;2;78303
cs-modeling1;1318m;1631Mi;1;3;5;78374
cs-modeling1;;;2;2;2;78444
cs-modeling1;1997m;2115Mi;3;1;4;78513
cs-modeling1;1987m;2341Mi;4;1;2;78579
cs-modeling1;;;2;1;5;78641
cs-modeling1;1966m;1661Mi;3;2;4;78708
cs-modeling1;1975m;1689Mi;4;1;3;78774
cs-modeling1;1977m;1673Mi;4;1;1;78842
cs-modeling1;1987m;1693Mi;5;3;3;78907
cs-modeling1;2000m;1651Mi;3;1;5;78977
cs-modeling1;1932m;1654Mi;3;3;2;79045
cs-modeling1;1990m;1723Mi;4;2;5;79112
cs-modeling1;1985m;1688Mi;4;2;1;79181
cs-modeling1;1976m;1652Mi;2;1;1;79242
cs-modeling1;1963m;1652Mi;3;3;2;79310
cs-modeling1;1970m;1789Mi;3;2;5;79378
cs-modeling1;1712m;1627Mi;2;2;2;79447
cs-modeling1;1999m;1652Mi;3;3;3;79508
cs-modeling1;82m;1607Mi;1;1;2;79569
cs-modeling1;1788m;1626Mi;1;3;3;79634
cs-modeling1;1829m;1880Mi;2;2;4;79700
cs-modeling1;2000m;1648Mi;2;2;5;79768
cs-modeling1;1970m;1789Mi;3;2;5;79378
cs-modeling1;1712m;1627Mi;2;2;2;79447
cs-modeling1;1999m;1652Mi;3;3;3;79508
cs-modeling1;82m;1607Mi;1;1;2;79569
cs-modeling1;1788m;1626Mi;1;3;3;79634
cs-modeling1;1829m;1880Mi;2;2;4;79700
cs-modeling1;2000m;1648Mi;2;2;5;79768
cs-modeling1;1334m;2410Mi;2;3;5;79829
cs-modeling1;1834m;1628Mi;1;2;3;79895
cs-modeling1;1991m;1650Mi;2;1;1;79961
cs-modeling1;1985m;1654Mi;3;2;3;80027
cs-modeling1;1933m;1657Mi;2;3;2;80100
cs-modeling1;300m;1605Mi;1;1;5;80160
cs-modeling1;1834m;1639Mi;2;2;4;80227
cs-modeling1;1979m;1645Mi;3;3;4;80294
cs-modeling1;1987m;1825Mi;4;1;2;80360
cs-modeling1;1986m;1931Mi;5;2;3;80422
cs-modeling1;1857m;1633Mi;1;2;3;80490
cs-modeling1;1857m;1633Mi;2;3;5;80555
cs-modeling1;1988m;1987Mi;3;2;4;80622
cs-modeling1;;;3;2;5;80691
cs-modeling1;1996m;2450Mi;2;1;2;80760
cs-modeling1;1678m;1625Mi;2;1;1;80827
cs-modeling1;2000m;1662Mi;3;1;5;80894
cs-modeling1;1986m;1639Mi;2;1;3;80963
cs-modeling1;1990m;1647Mi;3;2;2;81024
cs-modeling0;1992m;1649Mi;2;2;1;81102
cs-modeling1;2001m;1655Mi;2;1;2;81168
cs-modeling1;1983m;1650Mi;3;2;4;81237
cs-modeling1;1995m;1654Mi;3;1;4;81305
cs-modeling1;1747m;1621Mi;1;1;2;81376
cs-modeling1;1890m;1644Mi;2;2;4;81442
cs-modeling1;1969m;1640Mi;3;3;2;81509
cs-modeling1;1990m;1785Mi;3;3;2;81577
cs-modeling1;756m;1609Mi;1;1;3;81638
cs-modeling1;316m;1611Mi;1;1;2;81702
cs-modeling1;1839m;1627Mi;2;2;1;81768
cs-modeling1;1983m;1655Mi;2;2;1;81839
cs-modeling1;323m;1612Mi;3;3;1;81906
cs-modeling1;1270m;1630Mi;1;1;4;81967
cs-modeling1;1993m;1644Mi;2;2;5;82033
cs-modeling1;1990m;1644Mi;2;2;2;82100
cs-modeling1;2000m;1662Mi;3;3;3;82167
cs-modeling1;1387m;1614Mi;1;3;1;82228
cs-modeling1;387m;1622Mi;1;1;5;82289
cs-modeling1;1867m;1649Mi;2;3;3;82355
cs-modeling1;1987m;1841Mi;3;1;5;82421
cs-modeling1;1974m;1957Mi;4;1;2;82489
cs-modeling1;1997m;1673Mi;2;3;5;82560
cs-modeling1;1974m;1828Mi;3;1;3;82627
cs-modeling1;1987m;2011Mi;4;3;2;82694
cs-modeling1;1983m;2312Mi;5;3;1;82761
cs-modeling1;1986m;2453Mi;3;1;4;82823
cs-modeling1;1929m;1640Mi;2;1;1;82892
cs-modeling1;1992m;1663Mi;3;2;5;82958
cs-modeling1;2001m;1651Mi;3;3;5;83026
cs-modeling1;2001m;1880Mi;3;3;4;83095
cs-modeling1;1986m;2926Mi;1;3;5;83162
cs-modeling1;1987m;2150Mi;2;1;4;83228
cs-modeling1;1984m;2320Mi;3;1;3;83295
cs-modeling1;1984m;2435Mi;4;2;3;83362
cs-modeling1;1989m;1695Mi;5;1;2;83423
cs-modeling1;1985m;1728Mi;5;2;4;83491
cs-modeling1;1981m;1674Mi;4;1;2;83560
cs-modeling1;1984m;1697Mi;5;1;1;83628
cs-modeling1;2000m;1649Mi;5;2;1;83697
cs-modeling1;873m;1611Mi;1;3;3;83758
cs-modeling1;1704m;1626Mi;1;1;2;83823
cs-modeling1;1958m;1657Mi;2;1;1;83889
cs-modeling1;1961m;1650Mi;3;3;3;83957
cs-modeling1;1264m;1612Mi;1;2;4;84018
cs-modeling1;764m;1774Mi;1;3;3;84079
cs-modeling1;1273m;1615Mi;1;2;3;84143
cs-modeling1;1716m;1620Mi;2;1;2;84210
cs-modeling1;1982m;1645Mi;3;2;3;84277
cs-modeling1;379m;1597Mi;1;2;5;84338
